DATE,CAPUTLG2211S
2014-07-01,76.7921
2014-08-01,77.6160
2014-09-01,79.0983
2014-10-01,79.8159
2014-11-01,81.3538
2014-12-01,79.9080
2015-01-01,80.5119
2015-02-01,83.3971
2015-03-01,82.5424
2015-04-01,80.1255
2015-05-01,79.3356
2015-06-01,79.5528
2015-07-01,79.0000
2015-08-01,79.4074
2015-09-01,80.5161
2015-10-01,79.0711
2015-11-01,77.4716
2015-12-01,76.0880
2016-01-01,78.4003
2016-02-01,77.7776
2016-03-01,76.5500
2016-04-01,79.0461
2016-05-01,77.7656
2016-06-01,80.0851
2016-07-01,80.3908
2016-08-01,82.2374
2016-09-01,80.2681
2016-10-01,78.3070
2016-11-01,76.9014
2016-12-01,79.3895
2017-01-01,76.1839
2017-02-01,72.3283
2017-03-01,77.8229
2017-04-01,77.7918
2017-05-01,77.3852
2017-06-01,77.2781
2017-07-01,78.0965
2017-08-01,76.4697
2017-09-01,75.9916
2017-10-01,78.5207
2017-11-01,78.4107
2017-12-01,79.3835
2018-01-01,81.2593
2018-02-01,75.0999
2018-03-01,77.7827
2018-04-01,78.3072
2018-05-01,79.6546
2018-06-01,78.2822
2018-07-01,77.8154
2018-08-01,78.8426
2018-09-01,77.9823
2018-10-01,78.3223
2018-11-01,79.2634
2018-12-01,75.6967
2019-01-01,75.9327
2019-02-01,75.2283
2019-03-01,77.3953
2019-04-01,74.8981
2019-05-01,75.5693
2019-06-01,72.4751
2019-07-01,75.8002
2019-08-01,75.4481
2019-09-01,76.6504
2019-10-01,75.7459
2019-11-01,76.1701
2019-12-01,73.6289
2020-01-01,70.4938
2020-02-01,71.5910
