DATE,IPG333S
2000-01-01,93.8646
2000-02-01,93.2105
2000-03-01,94.3428
2000-04-01,95.1875
2000-05-01,94.9054
2000-06-01,95.9599
2000-07-01,95.9915
2000-08-01,94.9859
2000-09-01,94.9941
2000-10-01,95.4974
2000-11-01,94.3399
2000-12-01,93.8618
2001-01-01,93.2252
2001-02-01,92.0723
2001-03-01,90.9516
2001-04-01,86.9901
2001-05-01,84.8300
2001-06-01,84.1184
2001-07-01,82.0907
2001-08-01,81.1390
2001-09-01,79.6823
2001-10-01,78.2827
2001-11-01,77.1349
2001-12-01,75.9184
2002-01-01,77.5601
2002-02-01,77.1416
2002-03-01,77.9474
2002-04-01,79.3018
2002-05-01,80.1384
2002-06-01,81.4571
2002-07-01,81.2546
2002-08-01,82.6843
2002-09-01,83.3404
2002-10-01,83.4500
2002-11-01,83.6796
2002-12-01,81.6455
2003-01-01,81.4001
2003-02-01,82.4655
2003-03-01,82.4883
2003-04-01,80.3060
2003-05-01,80.3417
2003-06-01,79.8358
2003-07-01,78.8569
2003-08-01,79.4416
2003-09-01,79.4744
2003-10-01,78.3314
2003-11-01,81.1907
2003-12-01,80.5462
2004-01-01,81.0403
2004-02-01,82.9557
2004-03-01,82.5052
2004-04-01,82.6432
2004-05-01,83.5103
2004-06-01,83.5824
2004-07-01,85.5591
2004-08-01,84.0770
2004-09-01,84.3981
2004-10-01,85.1088
2004-11-01,85.1648
2004-12-01,84.0995
2005-01-01,87.0182
2005-02-01,87.2671
2005-03-01,87.2214
2005-04-01,88.2291
2005-05-01,89.1093
2005-06-01,89.3159
2005-07-01,88.0459
2005-08-01,87.2710
2005-09-01,88.6815
2005-10-01,91.5198
2005-11-01,91.1837
2005-12-01,91.9110
2006-01-01,90.9290
2006-02-01,90.2997
2006-03-01,91.1449
2006-04-01,92.3208
2006-05-01,91.0752
2006-06-01,91.5799
2006-07-01,94.6246
2006-08-01,94.8590
2006-09-01,95.8002
2006-10-01,93.8748
2006-11-01,94.0180
2006-12-01,96.9163
2007-01-01,94.2895
2007-02-01,94.3484
2007-03-01,96.2771
2007-04-01,96.2162
2007-05-01,96.6790
2007-06-01,97.0077
2007-07-01,97.6079
2007-08-01,96.6931
2007-09-01,99.7674
2007-10-01,98.8202
2007-11-01,98.7385
2007-12-01,98.6528
2008-01-01,98.7843
2008-02-01,97.7518
2008-03-01,99.5791
2008-04-01,96.4703
2008-05-01,96.0274
2008-06-01,95.5489
2008-07-01,94.2513
2008-08-01,95.6425
2008-09-01,93.1966
2008-10-01,92.0687
2008-11-01,89.6825
2008-12-01,85.1136
2009-01-01,81.7121
2009-02-01,80.0571
2009-03-01,75.7708
2009-04-01,73.6210
2009-05-01,71.8255
2009-06-01,69.6128
2009-07-01,69.6639
2009-08-01,71.1185
2009-09-01,70.9246
2009-10-01,72.4144
2009-11-01,71.6034
2009-12-01,74.1379
2010-01-01,75.7148
2010-02-01,75.9964
2010-03-01,76.9882
2010-04-01,79.7571
2010-05-01,81.9628
2010-06-01,82.7031
2010-07-01,83.1016
2010-08-01,83.6368
2010-09-01,84.2395
2010-10-01,85.7704
2010-11-01,86.8462
2010-12-01,88.8902
2011-01-01,90.6515
2011-02-01,90.3758
2011-03-01,89.8999
2011-04-01,89.6611
2011-05-01,90.6226
2011-06-01,91.3154
2011-07-01,92.4335
2011-08-01,92.9222
2011-09-01,93.5054
2011-10-01,94.3677
2011-11-01,95.2357
2011-12-01,98.7762
2012-01-01,99.6012
2012-02-01,99.7867
2012-03-01,101.3027
2012-04-01,101.8239
2012-05-01,101.6772
2012-06-01,103.1933
2012-07-01,99.8946
2012-08-01,99.9334
2012-09-01,99.8100
2012-10-01,97.1748
2012-11-01,97.4700
2012-12-01,98.3322
2013-01-01,96.5422
2013-02-01,96.9437
2013-03-01,97.3518
2013-04-01,95.7059
2013-05-01,94.6963
2013-06-01,94.9549
2013-07-01,92.8192
2013-08-01,95.2374
2013-09-01,95.7014
2013-10-01,95.1679
2013-11-01,95.4151
2013-12-01,94.1264
2014-01-01,96.0104
2014-02-01,96.9398
2014-03-01,98.7520
2014-04-01,96.7957
2014-05-01,97.5722
2014-06-01,96.4371
2014-07-01,96.9307
2014-08-01,96.3557
2014-09-01,94.5665
2014-10-01,96.6132
2014-11-01,97.9601
2014-12-01,95.0043
2015-01-01,94.4158
2015-02-01,93.6216
2015-03-01,92.2548
2015-04-01,90.9101
2015-05-01,90.5879
2015-06-01,88.6234
2015-07-01,87.8314
2015-08-01,88.7727
2015-09-01,87.2789
2015-10-01,85.9927
2015-11-01,84.5985
2015-12-01,82.8604
2016-01-01,82.9769
2016-02-01,81.7958
2016-03-01,81.5661
2016-04-01,81.1267
2016-05-01,80.9711
2016-06-01,82.3172
2016-07-01,83.4773
2016-08-01,82.6435
2016-09-01,81.5367
2016-10-01,82.1297
2016-11-01,81.9521
2016-12-01,83.5296
2017-01-01,85.1192
2017-02-01,83.9953
2017-03-01,85.7989
2017-04-01,88.0995
2017-05-01,88.6307
2017-06-01,88.6874
2017-07-01,87.7435
2017-08-01,86.8242
2017-09-01,89.0649
2017-10-01,89.5826
2017-11-01,90.3532
2017-12-01,90.7860
2018-01-01,90.5015
2018-02-01,90.2088
2018-03-01,90.1504
2018-04-01,91.6634
2018-05-01,90.6349
2018-06-01,91.1341
2018-07-01,92.1827
2018-08-01,94.1510
2018-09-01,94.3731
2018-10-01,95.1911
2018-11-01,96.4998
2018-12-01,94.6047
2019-01-01,95.0460
2019-02-01,92.8767
2019-03-01,93.8171
2019-04-01,90.5832
