DATE,IPG321S
2006-10-01,139.2248
2006-11-01,138.8095
2006-12-01,142.6849
2007-01-01,139.7381
2007-02-01,139.4932
2007-03-01,141.4892
2007-04-01,139.4251
2007-05-01,140.6003
2007-06-01,142.3903
2007-07-01,142.2128
2007-08-01,139.7790
2007-09-01,138.9654
2007-10-01,136.6787
2007-11-01,134.8661
2007-12-01,135.2744
2008-01-01,132.2604
2008-02-01,129.2104
2008-03-01,127.6562
2008-04-01,124.9593
2008-05-01,123.4300
2008-06-01,122.3599
2008-07-01,121.8532
2008-08-01,119.1477
2008-09-01,115.4303
2008-10-01,109.3604
2008-11-01,105.9765
2008-12-01,95.7988
2009-01-01,92.8199
2009-02-01,92.6184
2009-03-01,89.3363
2009-04-01,87.8488
2009-05-01,87.2243
2009-06-01,90.5909
2009-07-01,90.6232
2009-08-01,92.1749
2009-09-01,92.7683
2009-10-01,91.1298
2009-11-01,91.9353
2009-12-01,91.5956
2010-01-01,93.6436
2010-02-01,92.3557
2010-03-01,93.4979
2010-04-01,97.1496
2010-05-01,98.3683
2010-06-01,95.3311
2010-07-01,94.3246
2010-08-01,93.1650
2010-09-01,92.0526
2010-10-01,92.9165
2010-11-01,93.0582
2010-12-01,93.5963
2011-01-01,93.2561
2011-02-01,93.0390
2011-03-01,95.4610
2011-04-01,93.2679
2011-05-01,94.6135
2011-06-01,93.4725
2011-07-01,93.7294
2011-08-01,92.8027
2011-09-01,95.6154
2011-10-01,95.1214
2011-11-01,95.1697
2011-12-01,96.2283
2012-01-01,97.9210
2012-02-01,97.1903
2012-03-01,97.8500
2012-04-01,99.3555
2012-05-01,101.1647
2012-06-01,99.4620
2012-07-01,99.7131
2012-08-01,100.1124
2012-09-01,99.3536
2012-10-01,100.7444
2012-11-01,103.3662
2012-12-01,103.7668
2013-01-01,104.4154
2013-02-01,106.7920
2013-03-01,105.6827
2013-04-01,103.9209
2013-05-01,104.5588
2013-06-01,105.1086
2013-07-01,104.1521
2013-08-01,105.8536
2013-09-01,107.7202
2013-10-01,107.1169
2013-11-01,108.0767
2013-12-01,105.9248
2014-01-01,103.0151
2014-02-01,103.6164
2014-03-01,105.6104
2014-04-01,106.1181
2014-05-01,108.2585
2014-06-01,108.6993
2014-07-01,110.1602
2014-08-01,110.9749
2014-09-01,110.1318
2014-10-01,111.0039
2014-11-01,110.7144
2014-12-01,112.1548
2015-01-01,110.3434
2015-02-01,110.7327
2015-03-01,110.3776
2015-04-01,111.2549
2015-05-01,111.3227
2015-06-01,111.4624
2015-07-01,113.5829
2015-08-01,114.1336
2015-09-01,114.6468
2015-10-01,114.6080
2015-11-01,113.6075
2015-12-01,116.2805
2016-01-01,116.1450
2016-02-01,115.0394
2016-03-01,115.4409
2016-04-01,115.7961
2016-05-01,115.2330
2016-06-01,116.4451
2016-07-01,115.8438
2016-08-01,115.9477
2016-09-01,116.4094
2016-10-01,118.2197
2016-11-01,121.4790
2016-12-01,121.1138
2017-01-01,122.0572
2017-02-01,123.2790
2017-03-01,123.0493
2017-04-01,122.5747
2017-05-01,122.4809
2017-06-01,121.8422
2017-07-01,123.4571
2017-08-01,123.9940
2017-09-01,125.7846
2017-10-01,125.7815
2017-11-01,127.4017
2017-12-01,127.0118
2018-01-01,126.2214
2018-02-01,128.6735
2018-03-01,128.5179
2018-04-01,127.7085
2018-05-01,127.1424
2018-06-01,127.4175
2018-07-01,126.7163
2018-08-01,128.1909
2018-09-01,128.2454
2018-10-01,126.3822
2018-11-01,125.2539
2018-12-01,125.0531
2019-01-01,126.5232
2019-02-01,125.0289
2019-03-01,123.4112
2019-04-01,124.5700
2019-05-01,125.8557
2019-06-01,126.2613
2019-07-01,127.0513
2019-08-01,127.1241
2019-09-01,127.8329
2019-10-01,129.8519
2019-11-01,128.7178
